,SIDateTime,ElectricActivity,NLS,ltgAll,VASR_AB,OverallABmedInfra,OverallABmedSeis,maxseisDur,maxinfraDur,CRF_yn,CRF_yn2,start_ElectricActivity,Factor_ltgAll
1233,6/6/15 09:17:12,29.763948,96,5,3.982028663,960633.286,241242.1827,59.43,44.34,y,y,29.76397225,1
1298,6/6/15 15:11:15,12.756367,22,1,2.392561671,1196701.332,506993.5165,48.23,41.66,y,y,12.75639125,1
1300,6/6/15 15:22:35,16.319305,52,4,4.289334142,259721.3811,74278.80649,70.93,59.74,y,y,16.31932925,1
1305,6/6/15 15:45:55,16.868843,45,1,1.480739998,392596.2626,304686.8111,50.91,41.32,y,y,16.86886725,1
1312,6/6/15 16:19:02,10.78812,17,2,2.915392873,412876.5594,182805.7214,50.33,43.38,y,y,10.78814425,1
1314,6/6/15 16:23:12,5.9816847,27,2,2.1301795,191831.0777,108187.1054,40.81,36.21,y,y,5.98170895,1
1315,6/6/15 16:26:19,15.977078,29,3,1.75027538,628775.5761,454149.2377,51.41,42.83,y,y,15.97710225,1
1396,6/6/15 23:38:16,19.128995,497,28,89.45258633,510164886.8,5743597.39,99.35,90.23,y,y,19.12901925,1
1402,6/7/15 00:12:14,20.988497,53,4,5.163676832,1456281.966,327327.224,72.9,66.39,y,y,20.98852125,1
1458,6/7/15 07:59:00,45.090871,2458,22,96.38253512,2419413923,25102202.6,99.07,90.15,y,y,45.09089525,1
1466,6/7/15 09:36:21,59.515631,9394,38,86.85829365,792298618.1,9121738.234,83.41,75.08,y,y,59.51565525,1
1470,6/7/15 10:05:28,13.509228,37,3,3.423923967,691195.9857,204014.0722,58.42,47.67,y,y,13.50925225,1
1472,6/7/15 10:23:23,11.369116,27,2,3.78034577,2137578.974,572636.7811,88.28,67.8,y,y,11.36914025,1
1474,6/7/15 11:30:57,21.294069,110,7,5.561044481,1325575.478,214401.4772,46.44,27.51,y,y,21.29409325,1
1480,6/7/15 12:22:24,29.032672,243,6,6.017239937,3900227.468,691726.1896,62.75,49.67,y,y,29.03269625,1
1492,6/7/15 13:45:30,20.898959,82,7,2.418445848,302266.7321,97151.96213,30.51,23.55,y,y,20.89898325,1
1503,6/7/15 14:47:10,27.042962,90,1,3.414216718,297103.6468,103637.1317,27.73,19.95,y,y,27.04298625,1
1510,6/7/15 16:12:24,28.646828,37,3,1.302393359,660551.0205,616445.6153,85.39,77.75,y,y,28.64685225,1
1521,6/7/15 17:32:04,155.58926,502,17,1.48698981,133464.7346,160261.026,44.07,30.96,y,y,155.5892843,1
1522,6/7/15 18:21:20,266.56769,7349,61,32.97350295,175615377.3,4090115.314,36.11,27.84,y,y,266.5677143,1
1523,6/7/15 18:39:20,31.944461,1265,16,60.12415804,16808793.36,426487.473,59.97,52.74,y,y,31.94448525,1
1527,6/7/15 19:06:03,28.235625,21,2,8.872587101,1820079.79,205135.1842,38.43,30.11,y,y,28.23564925,1
1529,6/7/15 19:57:23,36.282773,1894,24,40.36094478,244826903.6,6273651.038,98.74,90.02,y,y,36.28279725,1
1533,6/7/15 20:36:26,63.672623,208,15,1.397202825,1387650.403,931052.6904,87.29,81.3,y,y,63.67264725,1
1541,6/7/15 22:08:55,59.75433,1080,34,8.54983666,20324224.38,2220286.271,79.33,69.58,y,y,59.75435425,1
1542,6/7/15 22:13:06,44.699912,198,13,5.166738015,2003276.379,492268.5481,60.05,42.88,y,y,44.69993625,1
1553,6/7/15 22:58:35,52.140641,162,6,1.311244845,74083.83159,56498.8544,10.66,4.64,y,y,52.14066525,1
1,5/28/15 00:16:35,0.67397141,24,0,0.067911338,4941.216563,265476.4566,28.6,21.68,n,n,0.67399566,0
2,5/28/15 01:49:21,1.4011205,6,0,55.46983983,520964235.6,9391846.761,77.32,68.38,n,n,1.40114475,0
3,5/28/15 02:18:50,5.2223779,4,0,0.19414865,6480.37917,57837.01155,30.32,19.37,n,n,5.22240215,0
8,5/28/15 22:28:08,4.6687983,6,1,1.508498556,212776.8304,157049.7387,34.21,17.12,n,n,4.66882255,1
9,5/28/15 23:02:30,45.106441,1491,33,3.367968194,1241606.114,393436.5667,97.98,92.54,n,n,45.10646525,1
10,5/28/15 23:05:12,0.002719515,10,1,0.913896279,126803.6265,202380.8062,54.16,52.19,n,n,0.002743765,1
12,5/28/15 23:10:13,151.17794,3,0,1.231619002,69329.37127,85390.61769,52.7,46.45,n,n,151.1779643,0
13,5/29/15 00:05:22,209.99883,735,24,5.734832968,75054566.56,13087489.55,99.12,90.29,n,n,209.9988543,1
15,5/29/15 02:15:07,289.59485,593,16,6.310061148,575234.6454,126023.7388,46.24,39.75,n,n,289.5948743,1
16,5/29/15 02:29:34,18.292227,96,4,3.247895702,965334.8119,360514.8407,35.33,30.35,n,n,18.29225125,1
17,5/29/15 02:31:44,7.2040957,12,1,4.767022071,1596744.664,334956.4236,29.87,25.99,n,n,7.20411995,1
18,5/29/15 03:46:40,16.137892,8,1,4.06647649,258355.6876,64004.10746,35.73,30.1,n,n,16.13791625,1
21,5/29/15 04:20:21,183.53532,119,0,1.627764121,15619.54876,11523.89266,14.92,6.56,n,n,183.5353443,0
25,5/29/15 04:52:56,17.749474,24,0,4.132501406,371022.5506,130934.4948,41,28.11,n,n,17.74949825,0
32,5/29/15 07:24:13,41.71846,133,8,7.622973683,303164.5559,50553.52432,49.79,43.43,n,n,41.71848425,1
34,5/29/15 07:28:09,0.002670606,3,0,2.444555689,20558.30911,16312.85594,9.82,4.5,n,n,0.002694856,0
35,5/29/15 07:29:39,2.5780031,7,1,3.827638057,409389.288,129680.5143,82.75,71.98,n,n,2.57802735,1
40,5/29/15 08:16:11,132.46442,469,15,2.198328911,145168.9317,86099.92133,28.93,11.74,n,n,132.4644443,1
41,5/29/15 08:19:18,42.857707,434,14,0.539877972,238153.4392,495515.4438,21.72,14.78,n,n,42.85773125,1
46,5/29/15 08:45:54,11.753437,18,2,1.484408793,197313.7687,257282.1115,95.82,90.1,n,n,11.75346125,1
48,5/29/15 08:49:57,40.345074,106,8,9.082820341,1193070.124,186378.5521,37.63,30.28,n,n,40.34509825,1
49,5/29/15 08:52:04,16.425338,5,0,1.458962735,195902.4376,259267.659,55.16,49.66,n,n,16.42536225,0
50,5/29/15 08:55:11,15.375023,55,4,2.376614779,311015.6994,193770.854,19.87,13.74,n,n,15.37504725,1
51,5/29/15 08:56:17,160.53716,134,5,1.428610264,262525.0921,251785.686,19.25,13.62,n,n,160.5371843,1
52,5/29/15 09:01:06,0.004951019,22,1,2.464093026,274940.2718,170092.8973,32.78,25.88,n,n,0.004975269,1
53,5/29/15 09:01:51,0,1,0,1.298016001,139522.2294,174228.7272,21.26,15.76,n,n,2.43E-05,0
54,5/29/15 09:08:27,0,1,0,2.642031922,1030497.72,607430.6053,37.66,32.25,n,n,2.43E-05,0
55,5/29/15 09:14:16,0,1,0,1.291279627,172285.124,166378.9481,38.78,32.9,n,n,2.43E-05,0
56,5/29/15 09:16:27,0.001745308,18,1,1.665008813,125949.3961,105996.1441,22.4,16.09,n,n,0.001769558,1
57,5/29/15 09:33:05,55.838316,45,3,4.014173811,2553403.844,694155.0575,105.62,99.94,n,n,55.83834025,1
60,5/29/15 09:52:39,0.002287287,10,1,1.607800499,230189.2621,229912.9848,38.52,34.06,n,n,0.002311537,1
61,5/29/15 09:54:01,90.263119,145,8,1.93903988,709526.8532,451038.7813,15.65,10.83,n,n,90.26314325,1
62,5/29/15 09:55:49,74.72868,23,2,1.671025201,1339382.321,1441491.359,32.55,27.69,n,n,74.72870425,1
64,5/29/15 10:00:11,58.941275,120,4,1.507551104,885302.752,774408.5258,82.31,76,n,n,58.94129925,1
67,5/29/15 10:04:08,0,1,0,1.028076523,354992.7205,505866.9537,57.54,52.19,n,n,2.43E-05,0
70,5/29/15 10:10:13,0,1,0,2.273716804,734110.8855,489523.3832,100.03,90.74,n,n,2.43E-05,0
71,5/29/15 10:11:46,0,1,0,3.825639538,459449.0497,193272.6891,46.27,40.64,n,n,2.43E-05,0
79,5/29/15 11:51:35,16.701057,59,5,24.31695678,1442820.695,59333.93342,8.04,7.72,n,n,16.70108125,1
174,5/30/15 05:39:36,23.41214,194,4,3.51592011,417897.8565,166334.8986,98.17,83.07,n,n,23.41216425,1
180,5/30/15 06:14:20,8.6610046,111,3,0.254250064,26868.05128,135741.2423,26.91,21.12,n,n,8.66102885,1
183,5/30/15 06:43:42,0.000594977,2,0,2.753412273,53450.94705,19619.25944,28.37,17.91,n,n,0.000619227,0
187,5/30/15 08:26:34,7.1996228,2,0,1.05614742,135047.4723,152080.4477,43.5,34.79,n,n,7.19964705,0
188,5/30/15 09:16:06,24.673267,192,11,54.47122592,3395557874,62336725.79,75.44,66.47,n,n,24.67329125,1
189,5/30/15 09:31:25,1.6712807,7,0,1.513339404,59578872.7,39369141.23,100.24,90.34,n,n,1.67130495,0
195,5/30/15 09:51:41,81.012578,9,1,5.259675995,106262.3804,23185.57061,71.38,51.8,n,n,81.01260225,1
197,5/30/15 10:02:43,16.302435,49,3,0.524354733,285328.1155,561678.8878,114.07,106.04,n,n,16.30245925,1
214,5/30/15 14:22:23,37.590787,342,12,0.450370392,66768.2018,175036.4261,97.3,94.87,n,n,37.59081125,1
215,5/30/15 14:28:05,0.5096165,8,0,5.671293787,30369442.66,5670654.692,66.15,57.31,n,n,0.50964075,0
216,5/30/15 14:32:53,0.000195616,3,1,0.731814697,59389.02221,108662.6056,100.9,90.62,n,n,0.000219866,1
218,5/30/15 15:05:53,0,1,0,7.35565501,228871.4931,39345.22915,65.49,51.51,n,n,2.43E-05,0
