"","SIDateTime","ElectricActivity","NLS","ltgAll","VASR_AB","OverallABmedInfra","OverallABmedSeis","maxseisDur","maxinfraDur","CRF_yn","CRF_yn2","start_ElectricActivity","Factor_ltgAll"
"766","04-Jun-2015 19:51:40",168.24802,108,13,0.879629350176827,604632.6171255,753801.7798255,105.25,90.21,"y","y",168.24804425,"1"
"796","04-Jun-2015 22:25:01",20.019902,41,3,0.226827002212174,531384.503154,2389144.318376,103.39,90.27,"y","y",20.01992625,"1"
"810","04-Jun-2015 23:57:37",33.111963,251,10,4.73889795756777,1088141.286932,291698.108854,43.25,31.35,"y","y",33.11198725,"1"
"813","05-Jun-2015 00:21:33",40.253971,79,6,2.49935722381372,1759107.9757415,1050987.21124,66.17,54.55,"y","y",40.25399525,"1"
"837","05-Jun-2015 01:59:38",20.013918,126,7,7.52568128292549,1486198.867006,237128.772388,63.01,51.71,"y","y",20.01394225,"1"
"885","05-Jun-2015 06:15:50",91.107301,225,9,3.47657849260177,284181.630798,81741.755983,53.09,30.18,"y","y",91.10732525,"1"
"900","05-Jun-2015 08:11:47",18.82944,51,3,0.458336456661388,1019890.536534,2234418.799751,98.18,90.26,"y","y",18.82946425,"1"
"924","05-Jun-2015 10:27:31",5.8040398,31,2,4.15881543541965,1775161.656118,460311.9990295,103.22,87.19,"y","y",5.80406405,"1"
"1233","06-Jun-2015 09:17:12",29.763948,96,5,3.98202866257805,960633.285977,241242.1826605,59.43,44.34,"y","y",29.76397225,"1"
"1298","06-Jun-2015 15:11:15",12.756367,22,1,2.39256167075302,1196701.331868,506993.5165055,48.23,41.66,"y","y",12.75639125,"1"
"1300","06-Jun-2015 15:22:35",16.319305,52,4,4.28933414215401,259721.381063,74278.806489,70.93,59.74,"y","y",16.31932925,"1"
"1305","06-Jun-2015 15:45:55",16.868843,45,1,1.48073999835893,392596.262565,304686.8111175,50.91,41.32,"y","y",16.86886725,"1"
"1312","06-Jun-2015 16:19:02",10.78812,17,2,2.91539287328226,412876.55942,182805.721444,50.33,43.38,"y","y",10.78814425,"1"
"1314","06-Jun-2015 16:23:12",5.9816847,27,2,2.13017949975379,191831.077657,108187.1054425,40.81,36.21,"y","y",5.98170895,"1"
"1315","06-Jun-2015 16:26:19",15.977078,29,3,1.75027537959248,628775.5760615,454149.2377075,51.41,42.83,"y","y",15.97710225,"1"
"1396","06-Jun-2015 23:38:16",19.128995,497,28,89.4525863305474,510164886.837939,5743597.389507,99.35,90.23,"y","y",19.12901925,"1"
"1402","07-Jun-2015 00:12:14",20.988497,53,4,5.1636768315691,1456281.9663305,327327.2240385,72.9,66.39,"y","y",20.98852125,"1"
"1458","07-Jun-2015 07:59:00",45.090871,2458,22,96.3825351161561,2419413923.47305,25102202.598814,99.07,90.15,"y","y",45.09089525,"1"
"1466","07-Jun-2015 09:36:21",59.515631,9394,38,86.8582936504928,792298618.147161,9121738.234178,83.41,75.08,"y","y",59.51565525,"1"
"1470","07-Jun-2015 10:05:28",13.509228,37,3,3.42392396708598,691195.985688,204014.0722465,58.42,47.67,"y","y",13.50925225,"1"
"1472","07-Jun-2015 10:23:23",11.369116,27,2,3.78034577014743,2137578.9736345,572636.781129,88.28,67.8,"y","y",11.36914025,"1"
"1474","07-Jun-2015 11:30:57",21.294069,110,7,5.56104448082386,1325575.478327,214401.477239,46.44,27.51,"y","y",21.29409325,"1"
